,din_instante,val_geracao,Estacao
420,2019-02-25,595.008,Verão
421,2019-02-26,496.3325,Verão
422,2019-02-27,397.657,Verão
423,2019-02-28,356.601,Verão
424,2019-03-01,395.422,Verão
425,2019-03-02,519.163,Verão
426,2019-03-03,656.928,Verão
427,2019-03-04,591.25,Verão
428,2019-03-05,865.555,Verão
429,2019-03-06,944.061,Verão
430,2019-03-07,835.631,Verão
431,2019-03-08,745.343,Verão
432,2019-03-09,651.584,Verão
433,2019-03-10,825.913,Verão
434,2019-03-11,366.65999999999997,Verão
435,2019-03-12,504.932,Verão
436,2019-03-13,375.157,Verão
437,2019-03-14,452.624,Verão
438,2019-03-15,813.5699999999999,Verão
439,2019-03-16,711.374,Verão
440,2019-03-17,811.367,Verão
441,2019-03-18,791.754,Verão
442,2019-03-19,915.092,Verão
443,2019-03-20,800.582,Verão
444,2019-03-21,618.9135,Outono
445,2019-03-22,437.245,Outono
446,2019-03-23,618.2175,Outono
447,2019-03-24,565.693,Outono
448,2019-03-25,573.7945,Outono
449,2019-03-26,583.1904999999999,Outono
450,2019-03-27,534.6585,Outono
451,2019-03-28,586.507,Outono
452,2019-03-29,617.8605,Outono
453,2019-03-30,588.6525,Outono
454,2019-03-31,583.004,Outono
455,2019-04-01,538.398,Outono
456,2019-04-02,363.7415,Outono
457,2019-04-03,416.767,Outono
458,2019-04-04,351.13199999999995,Outono
459,2019-04-05,443.835,Outono
460,2019-04-06,419.274,Outono
461,2019-04-07,385.87175,Outono
462,2019-04-08,352.4695,Outono
463,2019-04-09,420.209,Outono
464,2019-04-10,549.986,Outono
465,2019-04-11,553.3625,Outono
466,2019-04-12,515.6205,Outono
467,2019-04-13,504.5238333333333,Outono
468,2019-04-14,493.42716666666666,Outono
469,2019-04-15,482.3305,Outono
470,2019-04-16,463.85650000000004,Outono
471,2019-04-17,551.613,Outono
472,2019-04-18,616.115,Outono
473,2019-04-19,627.9065,Outono
474,2019-04-20,594.3845,Outono
475,2019-04-21,553.301,Outono
476,2019-04-22,417.65500000000003,Outono
